Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
Stencil,16384,1.07,3,92.24,N/A,Table Not Found
Stencil,16384,1.07,4,91.38,N/A,Table Not Found
Stencil,16384,1.07,5,92.90,N/A,Table Not Found
Stencil,16384,1.07,6,91.27,N/A,Table Not Found
Stencil,16384,1.07,7,92.97,N/A,Table Not Found
Stencil,16384,1.07,8,92.75,N/A,Table Not Found
Stencil,16384,1.07,9,91.79,N/A,Table Not Found
Stencil,16384,1.07,10,91.22,N/A,Table Not Found
Stencil,16384,1.07,11,90.80,N/A,Table Not Found
Stencil,16384,1.07,12,91.97,N/A,Table Not Found
Stencil,16384,1.07,13,91.07,N/A,Table Not Found
Stencil,16384,1.07,14,92.09,N/A,Table Not Found
Stencil,16384,1.07,15,93.71,N/A,Table Not Found
Stencil,16384,1.07,16,90.88,N/A,Table Not Found
Stencil,16384,1.07,17,93.89,N/A,Table Not Found
Stencil,16384,1.07,18,92.01,N/A,Table Not Found
Stencil,16384,1.07,19,91.54,N/A,Table Not Found
Stencil,16384,1.07,20,91.73,N/A,Table Not Found
Stencil,16384,1.07,21,90.66,N/A,Table Not Found
Stencil,16384,1.07,22,90.69,N/A,Table Not Found
Stencil,16384,1.07,23,92.37,N/A,Table Not Found
Stencil,16384,1.07,24,91.57,N/A,Table Not Found
Stencil,16384,1.07,25,91.58,N/A,Table Not Found
Stencil,16384,1.07,26,92.21,N/A,Table Not Found
Stencil,16384,1.07,27,94.71,N/A,Table Not Found
Stencil,16384,1.07,28,91.09,N/A,Table Not Found
Stencil,16384,1.07,29,92.48,N/A,Table Not Found
Stencil,16384,1.07,30,94.19,N/A,Table Not Found
Stencil,16384,1.07,31,91.18,N/A,Table Not Found
Stencil,16384,1.07,32,91.05,N/A,Table Not Found
Stencil,16384,1.07,33,91.38,N/A,Table Not Found
Stencil,16384,1.07,34,91.14,N/A,Table Not Found
Stencil,16384,1.07,35,92.82,N/A,Table Not Found
Stencil,16384,1.07,36,92.22,N/A,Table Not Found
Stencil,16384,1.07,37,92.53,N/A,Table Not Found
Stencil,16384,1.07,38,90.80,N/A,Table Not Found
Stencil,16384,1.07,39,93.64,N/A,Table Not Found
Stencil,16384,1.07,40,91.61,N/A,Table Not Found
Stencil,16384,1.07,41,91.36,N/A,Table Not Found
Stencil,16384,1.07,42,93.25,N/A,Table Not Found
Stencil,16384,1.07,43,92.72,N/A,Table Not Found
Stencil,16384,1.07,44,91.54,N/A,Table Not Found
Stencil,16384,1.07,45,91.17,N/A,Table Not Found
Stencil,16384,1.07,46,90.85,N/A,Table Not Found
Stencil,16384,1.07,47,90.82,N/A,Table Not Found
Stencil,16384,1.07,48,90.32,N/A,Table Not Found
Stencil,16384,1.07,49,91.18,N/A,Table Not Found
Stencil,16384,1.07,50,91.52,N/A,Table Not Found
Stencil,24000,2.30,1,214.06,N/A,Table Not Found
Stencil,24000,2.30,2,213.26,N/A,Table Not Found
Stencil,24000,2.30,3,217.78,N/A,Table Not Found
Stencil,24000,2.30,4,212.84,N/A,Table Not Found
Stencil,24000,2.30,5,211.43,N/A,Table Not Found
Stencil,24000,2.30,6,213.11,N/A,Table Not Found
Stencil,24000,2.30,7,213.10,N/A,Table Not Found
Stencil,24000,2.30,8,214.97,N/A,Table Not Found
Stencil,24000,2.30,9,212.10,N/A,Table Not Found
Stencil,24000,2.30,10,212.38,N/A,Table Not Found
Stencil,24000,2.30,11,212.80,N/A,Table Not Found
Stencil,24000,2.30,12,214.23,N/A,Table Not Found
Stencil,24000,2.30,13,212.29,N/A,Table Not Found
Stencil,24000,2.30,14,212.33,N/A,Table Not Found
Stencil,24000,2.30,15,210.75,N/A,Table Not Found
Stencil,24000,2.30,16,213.05,N/A,Table Not Found
Stencil,24000,2.30,17,215.22,N/A,Table Not Found
Stencil,24000,2.30,18,212.83,N/A,Table Not Found
Stencil,24000,2.30,19,213.01,N/A,Table Not Found
Stencil,24000,2.30,20,211.58,N/A,Table Not Found
Stencil,24000,2.30,21,213.42,N/A,Table Not Found
Stencil,24000,2.30,22,211.43,N/A,Table Not Found
