idx,ts_utc,workload,arm,L,wall_s,bench_result_ms,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,decomp_records,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident
78,2026-09-25T18:45:00Z,stencil,C7,256,1.233358,469.35,0,5997D238EF080B77DBD2AAF,61343640,61084652,39.8,0,,325008,319740,319740,0,21292,231958,319740,804731,5268,0,0,27890
79,2026-09-25T18:45:03Z,stencil,C7,4096,1.236962,486.88,0,5997D238EF080B77DBD2AAF,61335780,61080728,39.8,0,,344963,344963,344963,0,23049,252193,344963,779583,0,0,0,30382
80,2026-09-25T18:45:06Z,stencil,C7,16,1.184980,430.89,0,5997D238EF080B77DBD2AAF,61337352,61086448,39.8,0,,324815,77916,77916,0,10421,52187,77916,1046516,246899,0,0,10922
81,2026-09-25T18:45:08Z,stencil,C0,,1.146320,375.42,0,5997D238EF080B77DBD2AAF,61354380,61088340,39.8,0,,349769,0,0,0,0,0,0,0,0,0,0,0
82,2026-09-25T18:45:11Z,stencil,C7,16,1.200849,444.94,0,5997D238EF080B77DBD2AAF,61327624,61070924,39.8,0,,338974,79786,79786,0,10647,52697,79786,1044602,259188,0,0,11368
83,2026-09-25T18:45:13Z,stencil,C7,256,1.240615,483.38,0,5997D238EF080B77DBD2AAF,61333688,61125860,39.8,0,,351362,345885,345885,0,23779,254519,345885,778587,5477,0,0,31540
84,2026-09-25T18:45:46Z,graphbfs,C7,256,31.600033,179.07,0,5997D238EF080B77DBD2AAF,61398340,60995844,39.8,0,,43973,1855,1855,0,347,1554,1855,286085,42118,0,0,353
85,2026-09-25T18:45:49Z,stencil,C7,4096,1.230377,478.75,0,5997D238EF080B77DBD2AAF,61235740,60996364,39.8,0,,343897,343897,343897,0,23348,253119,343897,780646,0,0,0,30928
86,2026-09-25T18:46:22Z,graphbfs,C7,16,31.497600,177.93,0,5997D238EF080B77DBD2AAF,61271684,61064168,39.8,0,,44519,1288,1288,0,466,1113,1288,286652,43231,0,0,447
87,2026-09-25T18:46:55Z,graphbfs,C0,,31.748634,167.87,0,5997D238EF080B77DBD2AAF,61296832,61088672,39.8,0,,43730,0,0,0,0,0,0,0,0,0,0,0
88,2026-09-25T18:46:58Z,stencil,C7,1,1.185185,435.32,0,5997D238EF080B77DBD2AAF,61310256,61063168,39.8,0,,344667,19752,19752,0,7716,16158,19752,1104664,324915,0,0,7687
89,2026-09-25T18:47:31Z,graphbfs,C7,1,31.832347,175.33,0,5997D238EF080B77DBD2AAF,61336760,61025252,39.8,0,,44622,734,734,0,352,575,734,287196,43888,0,0,331
90,2026-09-25T18:48:04Z,graphbfs,C7,4096,31.652560,184.73,0,5997D238EF080B77DBD2AAF,61224976,60977592,39.8,0,,43140,5888,5888,0,358,5436,5888,282068,36235,0,1017,574
